objectprop,superprop,label,description,seeAlso,definedBy,domain,range,propertyType,inverse
lis:profileQuantityDatum,,,,,,,,,,
lis:profileOfQuality,,,,,,,,,,
lis:hasFunctionalPart,,,,,,,,,,
lis:connectedTo,,,,,,,,,,
lis:residesIn,,,,,,,,,,
lis:contains,,,,,,,,,,
lis:concretizes,,,,,,,,,,
lis:concretizedBy,,,,,,,,,,
lis:hasFunction,,,,,,,,,,
lis:participantIn,,,,,,,,,,
lis:hasPhysicalQuantity,,,,,,,,,,
lis:hasParticipant,,,,,,,,,,
lis:hasPassiveParticipant,,,,,,,,,,
lis:qualityQuantifiedAs,,,,,,,,,,
lis:partOf,,,,,,,,,,
ex:observedProperty,lis:profileOfQuality,observedProperty,"Relation linking an observation activity profile to the quality of interest that was observed.","http://www.w3.org/ns/sosa/observedProperty",,,,,,
ex:hasResult,lis:profileQuantityDatum,hasResult,"Relation linking an observation activity and a sensor and  a result. The range should only be one observation.","http://www.w3.org/ns/sosa/hasResult",,,,,,
ex:hasInput,lis:hasPassiveParticipant,hasInput,,,,,,,,
